"Date","Month","Year","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
2018-01-18,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,38
2018-01-18,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,50
2018-01-19,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,52
2018-01-19,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,54
2018-01-19,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,57
2018-01-19,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,22,49
2018-01-19,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,43
2018-01-19,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,25
2018-01-19,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,37
2018-01-19,1,2018,"Millbrook School","Wake",35.856111,-78.574167,32,55
2018-01-19,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,34
2018-01-19,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,42
2018-01-20,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,51
2018-01-20,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,21
2018-01-20,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,63
2018-01-20,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,45
2018-01-20,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,6
2018-01-20,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32,43
2018-01-20,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,36
2018-01-20,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,28
2018-01-20,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,8
2018-01-20,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,38
2018-01-20,1,2018,"Millbrook School","Wake",35.856111,-78.574167,35,50
2018-01-20,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,41
2018-01-20,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,40
2018-01-21,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,50
2018-01-21,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,48
2018-01-21,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,44
2018-01-21,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,36,53
2018-01-21,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,49
2018-01-21,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,22
2018-01-21,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,34
2018-01-21,1,2018,"Millbrook School","Wake",35.856111,-78.574167,34,51
2018-01-21,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,35
2018-01-21,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,43
2018-01-22,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,48
2018-01-22,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,25
2018-01-22,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,58
2018-01-22,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,59
2018-01-22,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,37,57
2018-01-22,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,52
2018-01-22,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,40
2018-01-22,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,51
2018-01-22,1,2018,"Millbrook School","Wake",35.856111,-78.574167,32,59
2018-01-22,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,39
2018-01-22,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,57
2018-01-23,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,17
2018-01-23,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,8
2018-01-23,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,25
2018-01-23,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,18.5
2018-01-23,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,11
2018-01-23,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,36,15.5
2018-01-23,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,20
2018-01-23,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,13
2018-01-23,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,10
2018-01-23,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,19
2018-01-23,1,2018,"Millbrook School","Wake",35.856111,-78.574167,37,20.5
2018-01-23,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,16
2018-01-23,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,15
2018-01-24,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,18
2018-01-24,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,7
2018-01-24,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,16
2018-01-24,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,26
2018-01-24,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,22
2018-01-24,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,15
2018-01-24,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,3
2018-01-24,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,13
2018-01-24,1,2018,"Millbrook School","Wake",35.856111,-78.574167,31,20
2018-01-24,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,9
2018-01-24,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,15
2018-01-25,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,26
2018-01-25,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,13
2018-01-25,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,34
2018-01-25,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,43
2018-01-25,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,30
2018-01-25,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,34
2018-01-25,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,8
2018-01-25,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,27
2018-01-25,1,2018,"Millbrook School","Wake",35.856111,-78.574167,31,35
2018-01-25,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,13
